,id,author_id,text,created_at,Keyword
0,1449525170272563201,1015002083282468864,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/eOGDgdVPES,2021-10-16T23:58:26.000Z,YHOO
1,1449524739718979585,2954811838,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/mIpHGwuVD4,2021-10-16T23:56:43.000Z,YHOO
2,1449524205351997443,184975034,"RT @YahooNews: “As this region continues to become drier due to climate change, water supplies will be greatly reduced."" https://t.co/ceSwh…",2021-10-16T23:54:36.000Z,YHOO
3,1449524072090587140,7309052,"“As this region continues to become drier due to climate change, water supplies will be greatly reduced."" https://t.co/ceSwhtjxZX",2021-10-16T23:54:04.000Z,YHOO
4,1449523397331927047,191793473,"Yhoo anidiki...umntu akanconywa anymore kule ""woke"" world yenu https://t.co/mbw5a7tYFI",2021-10-16T23:51:23.000Z,YHOO
5,1449523376989614098,1434004333889212418,"Part 1/2
The BEST 'Serious' Meme Coins to Invest In:

1. FLOKI INU (BSC / ETH)
#Floki Inu via PancakeSwap (or UniSwap)
@RealFlokiInu #FLOKIINU 
Why? 
-Supported by Musk Family
-#NFT MetaGaming / Market ready: #Valhalla
-BSC+ETH revolutionary bridge
-more
https://t.co/oy76pb61Tk https://t.co/H9r3ZzYxnK",2021-10-16T23:51:18.000Z,YHOO
6,1449523324804124677,1385445859689697285,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/cybRyEVbZJ,2021-10-16T23:51:06.000Z,YHOO
7,1449522905163784192,1369457920224620545,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/pQeywqibjv,2021-10-16T23:49:26.000Z,YHOO
8,1449522674158473221,1267630909836144642,"RT @HenryBushnell: I’m not sure this email has been emphasized enough.

From the “Redacted - ESPN Personality”, to Bruce Allen, two days af…",2021-10-16T23:48:31.000Z,YHOO
9,1449521856931934215,31051620,"RT @HenryBushnell: I’m not sure this email has been emphasized enough.

From the “Redacted - ESPN Personality”, to Bruce Allen, two days af…",2021-10-16T23:45:16.000Z,YHOO
